graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
0,GAT,1:10,class_weighting,44,PGExplainer,0.816,30,nan,0.723,nan,nan,0.332,-0.032,29,no
0,GAT,1:10,class_weighting,44,GNNShap,0.816,30,0.952,nan,0.1,0.959,0.745,0.277,29,
0,GAT,1:10,focal_loss,42,GNNExplainer,0.735,30,0.926,0.555,0.233,nan,0.405,-0.31,32,
0,GAT,1:10,focal_loss,42,PGExplainer,0.735,30,nan,0.343,nan,nan,-0.064,0.175,32,no
0,GAT,1:10,focal_loss,42,GNNShap,0.735,30,0.993,nan,0.267,0.957,0.185,0.145,32,
0,GAT,1:10,focal_loss,43,GNNExplainer,0.744,30,0.903,0.553,0.133,nan,0.443,-0.279,33,
0,GAT,1:10,focal_loss,43,PGExplainer,0.744,30,nan,0.573,nan,nan,0.125,-0.247,33,no
0,GAT,1:10,focal_loss,43,GNNShap,0.744,30,0.99,nan,0.1,0.965,0.233,0.143,33,
0,GAT,1:10,focal_loss,44,GNNExplainer,0.767,30,0.914,0.562,0.3,nan,0.404,-0.222,32,
0,GAT,1:10,focal_loss,44,PGExplainer,0.767,30,nan,0.73,nan,nan,0.154,-0.183,32,no
0,GAT,1:10,focal_loss,44,GNNShap,0.767,30,0.983,nan,0.133,0.953,0.287,0.16,32,
0,GAT,1:50,none,42,GNNExplainer,0.706,15,0.992,0.532,0.667,nan,0.53,-0.268,37,
0,GAT,1:50,none,42,PGExplainer,0.706,15,nan,0.808,nan,nan,-0.077,-0.157,37,no
0,GAT,1:50,none,42,GNNShap,0.706,15,0.987,nan,0.2,0.91,0.516,0.477,37,
0,GAT,1:50,none,43,GNNExplainer,0.687,16,0.988,0.543,0.438,nan,0.549,-0.286,35,
0,GAT,1:50,none,43,PGExplainer,0.687,16,nan,0.907,nan,nan,0.498,-0.173,35,no
0,GAT,1:50,none,43,GNNShap,0.687,16,0.991,nan,0.125,0.891,0.516,0.508,35,
0,GAT,1:50,none,44,GNNExplainer,0.725,24,0.985,0.535,0.375,nan,0.419,-0.072,36,
0,GAT,1:50,none,44,PGExplainer,0.725,24,nan,0.859,nan,nan,0.366,-0.113,36,no
0,GAT,1:50,none,44,GNNShap,0.725,24,0.969,nan,0.125,0.918,0.52,0.433,36,
0,GAT,1:50,class_weighting,42,GNNExplainer,0.686,30,0.965,0.53,0.633,nan,0.634,-0.02,32,
0,GAT,1:50,class_weighting,42,PGExplainer,0.686,30,nan,0.806,nan,nan,0.134,-0.021,32,no
0,GAT,1:50,class_weighting,42,GNNShap,0.686,30,0.955,nan,0.167,0.918,0.447,0.629,32,
0,GAT,1:50,class_weighting,43,GNNExplainer,0.616,30,0.972,0.489,0.433,nan,0.581,-0.189,32,
0,GAT,1:50,class_weighting,43,PGExplainer,0.616,30,nan,0.736,nan,nan,0.1,-0.161,32,no
0,GAT,1:50,class_weighting,43,GNNShap,0.616,30,0.97,nan,0.233,0.874,0.298,0.617,32,
0,GAT,1:50,class_weighting,44,GNNExplainer,0.715,30,0.977,0.538,0.533,nan,0.732,-0.118,32,
0,GAT,1:50,class_weighting,44,PGExplainer,0.715,30,nan,0.791,nan,nan,0.346,-0.113,32,no
0,GAT,1:50,class_weighting,44,GNNShap,0.715,30,0.966,nan,0.2,0.915,0.446,0.646,32,
