architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GCN,1:1,8058,1,0.9879699248120299,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,33,72
GCN,1:1,8541,2,0.9784962406015035,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,24,46
GCN,1:1,8722,2,0.9918796992481201,0.25,0.25,0.25,1.0,22,42
GCN,1:1,8797,2,0.964360902255639,0.375,0.375,0.375,1.0,17,34
GCN,1:1,8160,1,0.9879699248120299,0.575,0.575,0.575,1.0,30,66
GCN,1:1,8040,1,0.9909774436090224,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,37,82
GCN,1:1,8533,2,0.9735338345864661,0.5,0.5,0.5,1.0,19,36
GCN,1:1,8228,1,0.9927819548872181,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,41,90
GCN,1:1,8842,2,0.9801503759398494,0.25,0.25,0.25,1.0,18,34
GCN,1:1,9227,4,0.9924812030075187,0.55,0.55,0.55,1.0,35,68
GCN,1:1,8229,1,0.9897744360902255,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,31,70
GCN,1:1,8564,2,0.9667669172932328,0.5,0.5,0.5,1.0,19,36
GCN,1:1,8435,2,0.9781954887218044,0.25,0.25,0.25,1.0,24,46
GCN,1:1,8746,2,0.9550375939849625,0.375,0.375,0.375,1.0,21,40
GCN,1:1,8448,2,0.9230075187969924,0.375,0.375,0.375,1.0,23,44
GCN,1:1,8825,2,0.9882706766917293,0.375,0.375,0.375,1.0,26,50
GCN,1:1,9405,4,0.9789473684210526,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,30,58
GCN,1:1,9287,4,0.9885714285714284,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,38,74
GCN,1:1,8113,1,0.9851127819548872,0.6086956521739131,0.6086956521739131,0.6086956521739131,1.0,34,76
GCN,1:1,8668,2,0.9714285714285713,0.25,0.25,0.25,1.0,19,36
GCN,1:1,9321,4,0.9857142857142858,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,32,62
GCN,1:1,9347,4,0.9866165413533834,0.55,0.55,0.55,1.0,35,68
GCN,1:1,8331,1,0.9884210526315789,0.5952380952380952,0.5952380952380952,0.5952380952380952,1.0,30,72
GCN,1:1,8481,2,0.9685714285714285,0.25,0.25,0.25,1.0,18,34
GCN,1:1,8477,2,0.9610526315789472,0.25,0.25,0.25,1.0,24,46
GCN,1:10,8180,1,0.9908270676691726,0.5652173913043478,0.5652173913043478,0.5652173913043478,1.0,35,80
