run_id,scenario,architecture,balancing,seed,quality_passed,split,grid_x,pr_precision,roc_tpr
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6600,0.100012,0.934817
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6700,0.097125,0.939028
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6800,0.090494,0.940223
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6900,0.088805,0.942549
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7000,0.087469,0.947797
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7100,0.086808,0.950667
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7200,0.085813,0.951598
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7300,0.082887,0.954889
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7400,0.082483,0.957423
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7500,0.078935,0.958399
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7600,0.076370,0.961675
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.7700,0.073730,0.965436
