run_id,scenario,architecture,balancing,seed,quality_passed,split,n_pos,roc_auc,pr_auc_ap,pr_auc_trap,prec_at_50,prec_at_100,prec_at_npos
1:1_TAGCN_class_weighting,1:1,TAGCN,class_weighting,42,False,val,914,0.7129426626982694,0.17305897362247197,0.17212323869536122,0.62,0.46,0.29321663019693656
1:1_TAGCN_class_weighting,1:1,TAGCN,class_weighting,42,False,test,169,0.6953348430062783,0.011096332900269967,0.010977140139301001,0.0,0.0,0.0
1:1_TAGCN_focal_loss,1:1,TAGCN,focal_loss,42,False,val,914,0.8893694136442463,0.28518743012699593,0.2840539187693741,0.54,0.48,0.37089715536105033
1:1_TAGCN_focal_loss,1:1,TAGCN,focal_loss,42,False,test,169,0.7950795228500347,0.02266170357288471,0.022266934002028418,0.02,0.01,0.005917159763313609
1:1_TAGCN_none,1:1,TAGCN,none,42,False,val,914,0.7129426233947561,0.17305896796648107,0.17212323304379396,0.62,0.46,0.29321663019693656
1:1_TAGCN_none,1:1,TAGCN,none,42,False,test,169,0.6953348430062783,0.011096332900269967,0.010977140139301001,0.0,0.0,0.0
1:30_native_GAT_class_weighting,1:30_native,GAT,class_weighting,42,False,val,914,0.8422494925719897,0.20179110286418386,0.20082080198094085,0.68,0.53,0.22975929978118162
1:30_native_GAT_class_weighting,1:30_native,GAT,class_weighting,42,False,test,169,0.5762104807599036,0.008550502001244489,0.008461665995587519,0.0,0.0,0.0
1:30_native_GAT_focal_loss,1:30_native,GAT,focal_loss,42,True,val,914,0.8383129116207834,0.26766781011339796,0.26720038915980115,0.74,0.65,0.3424507658643326
1:30_native_GAT_focal_loss,1:30_native,GAT,focal_loss,42,True,test,169,0.581087885659385,0.008433385547959974,0.008280294443781802,0.0,0.01,0.005917159763313609
1:30_native_GAT_none,1:30_native,GAT,none,42,True,val,914,0.8452017170290096,0.20192842396407232,0.20129618051692544,0.22,0.21,0.3074398249452954
1:30_native_GAT_none,1:30_native,GAT,none,42,True,test,169,0.740128182399917,0.018915331704923825,0.018403018476022236,0.04,0.05,0.029585798816568046
1:30_native_GCN_class_weighting,1:30_native,GCN,class_weighting,42,False,val,914,0.6011384734311,0.07501217453360425,0.07450008486000023,0.24,0.29,0.14660831509846828
1:30_native_GCN_class_weighting,1:30_native,GCN,class_weighting,42,False,test,169,0.6368111302400389,0.010993217355328906,0.010778541234098375,0.0,0.0,0.005917159763313609
1:30_native_GCN_class_weighting_s43,1:30_native,GCN,class_weighting,43,True,val,914,0.824869046588734,0.23235179236941728,0.23173201039536048,0.4,0.46,0.33916849015317285
1:30_native_GCN_class_weighting_s43,1:30_native,GCN,class_weighting,43,True,test,169,0.4677843238106951,0.009747766799095264,0.00937939675412567,0.02,0.03,0.029585798816568046
1:30_native_GCN_class_weighting_s44,1:30_native,GCN,class_weighting,44,False,val,914,0.6806017863132432,0.09909204495119214,0.09833681835140637,0.44,0.42,0.1652078774617068
1:30_native_GCN_class_weighting_s44,1:30_native,GCN,class_weighting,44,False,test,169,0.6660502154513078,0.013002424226864824,0.01275700326972948,0.0,0.01,0.011834319526627219
1:30_native_GCN_focal_loss,1:30_native,GCN,focal_loss,42,False,val,914,0.6641059838105683,0.11275332603040644,0.11211023624931975,0.18,0.33,0.2111597374179431
1:30_native_GCN_focal_loss,1:30_native,GCN,focal_loss,42,False,test,169,0.5317783924993561,0.008196314628744717,0.008003215465614652,0.0,0.01,0.011834319526627219
1:30_native_GCN_focal_loss_s43,1:30_native,GCN,focal_loss,43,False,val,914,0.7291957856571889,0.0742563210369076,0.07393596403762408,0.06,0.06,0.11597374179431072
1:30_native_GCN_focal_loss_s43,1:30_native,GCN,focal_loss,43,False,test,169,0.5577586271221896,0.008252873496079947,0.008051041367832398,0.02,0.01,0.005917159763313609
1:30_native_GCN_focal_loss_s44,1:30_native,GCN,focal_loss,44,False,val,914,0.6337529219214482,0.08909399036102414,0.08842741879416957,0.46,0.41,0.14770240700218817
1:30_native_GCN_focal_loss_s44,1:30_native,GCN,focal_loss,44,False,test,169,0.524884388058849,0.007053173599347288,0.006950717063821478,0.0,0.01,0.005917159763313609
1:30_native_GCN_none,1:30_native,GCN,none,42,False,val,914,0.7303542174124155,0.12219615624964365,0.12144823858956627,0.42,0.47,0.17833698030634573
1:30_native_GCN_none,1:30_native,GCN,none,42,False,test,169,0.5674082006580226,0.008886673732568733,0.008644070190869782,0.02,0.02,0.011834319526627219
1:30_native_GCN_none_s43,1:30_native,GCN,none,43,False,val,914,0.7744608363677611,0.14014570286710945,0.13946010284394547,0.34,0.38,0.22319474835886213
